Rate,Effect,Noise_T,Noise_U,Size,C_Type,T_AUC,U_AUC,AVG_AUC,S_Type,AUC
0.33,0.33,1.0,1.0,0,PerfectClassifier,0.506277091832,0.495599230546,0.500938161189,TargetLeastLikely,0.499201529021
0.33,0.33,1.0,1.0,0,PerfectClassifier,0.506277091832,0.495599230546,0.500938161189,TargetMostLikely,0.505033399334
0.33,0.33,1.0,1.0,0,PerfectClassifier,0.506277091832,0.495599230546,0.500938161189,TargetMaxTreatment,0.504325731687
0.01,0.01,0.0,0.0,0,PerfectClassifier,1.0,1.0,1.0,TargetLeastLikely,0.505050505051
0.01,0.01,0.0,0.0,0,PerfectClassifier,1.0,1.0,1.0,TargetMostLikely,0.994949494949
0.01,0.01,0.0,0.0,0,PerfectClassifier,1.0,1.0,1.0,TargetMaxTreatment,1.0
0.01,0.01,0.05,0.05,0,PerfectClassifier,0.95569805964,0.973822886119,0.96476047288,TargetLeastLikely,0.471041953873
0.01,0.01,0.05,0.05,0,PerfectClassifier,0.95569805964,0.973822886119,0.96476047288,TargetMostLikely,0.919360133488
0.01,0.01,0.05,0.05,0,PerfectClassifier,0.95569805964,0.973822886119,0.96476047288,TargetMaxTreatment,0.890402087361
0.01,0.01,0.1,0.1,0,PerfectClassifier,0.936945102961,0.935037442526,0.935991272743,TargetLeastLikely,0.464556962025
0.01,0.01,0.1,0.1,0,PerfectClassifier,0.936945102961,0.935037442526,0.935991272743,TargetMostLikely,0.894936708861
0.01,0.01,0.1,0.1,0,PerfectClassifier,0.936945102961,0.935037442526,0.935991272743,TargetMaxTreatment,0.859493670886
0.01,0.01,0.15,0.15,0,PerfectClassifier,0.926839989572,0.91731758263,0.922078786101,TargetLeastLikely,0.428865947173
0.01,0.01,0.15,0.15,0,PerfectClassifier,0.926839989572,0.91731758263,0.922078786101,TargetMostLikely,0.886112743092
0.01,0.01,0.15,0.15,0,PerfectClassifier,0.926839989572,0.91731758263,0.922078786101,TargetMaxTreatment,0.814978690265
0.01,0.01,0.2,0.2,0,PerfectClassifier,0.904103484445,0.910032416516,0.90706795048,TargetLeastLikely,0.443187048039
0.01,0.01,0.2,0.2,0,PerfectClassifier,0.904103484445,0.910032416516,0.90706795048,TargetMostLikely,0.849540816761
0.01,0.01,0.2,0.2,0,PerfectClassifier,0.904103484445,0.910032416516,0.90706795048,TargetMaxTreatment,0.7927278648
0.01,0.01,0.25,0.25,0,PerfectClassifier,0.839194426675,0.83954482108,0.839369623878,TargetLeastLikely,0.455296427498
0.01,0.01,0.25,0.25,0,PerfectClassifier,0.839194426675,0.83954482108,0.839369623878,TargetMostLikely,0.778575937331
0.01,0.01,0.25,0.25,0,PerfectClassifier,0.839194426675,0.83954482108,0.839369623878,TargetMaxTreatment,0.733872364829
0.01,0.01,0.3,0.3,0,PerfectClassifier,0.865362948656,0.845019348889,0.855191148773,TargetLeastLikely,0.421097290016
0.01,0.01,0.3,0.3,0,PerfectClassifier,0.865362948656,0.845019348889,0.855191148773,TargetMostLikely,0.822258961843
0.01,0.01,0.3,0.3,0,PerfectClassifier,0.865362948656,0.845019348889,0.855191148773,TargetMaxTreatment,0.743356251859
0.01,0.01,0.35,0.35,0,PerfectClassifier,0.825739680809,0.820012713823,0.822876197316,TargetLeastLikely,0.446542188535
0.01,0.01,0.35,0.35,0,PerfectClassifier,0.825739680809,0.820012713823,0.822876197316,TargetMostLikely,0.770216142102
